"organismofinterest","variable","date_year","prop_noNA","prop_wNA"
"Acinetobacter Sp.","FQL_class",2007,0.571547420965058,0.519667170953101
"Acinetobacter Sp.","FQL_class",2008,0.535820895522388,0.489100817438692
"Acinetobacter Sp.","FQL_class",2009,0.54014598540146,0.486522024983563
"Acinetobacter Sp.","FQL_class",2010,0.504792332268371,0.455988455988456
"Acinetobacter Sp.","FQL_class",2011,0.484014209591474,0.443811074918567
"Acinetobacter Sp.","FQL_class",2012,0.44,0.407407407407407
"Acinetobacter Sp.","FQL_class",2013,0.370967741935484,0.338235294117647
"Acinetobacter Sp.","FQL_class",2014,0.387347391786903,0.358316221765914
"Acinetobacter Sp.","FQL_class",2015,0.318181818181818,0.297872340425532
"Acinetobacter Sp.","FQL_class",2016,0.25556858147714,0.234660925726588
"Acinetobacter Sp.","FQL_class",2017,0.280456852791878,0.256678281068525
"Acinetobacter Sp.","FQL_class",2018,0.256375838926174,0.230955259975816
"Acinetobacter Sp.","FQL_class",2019,0.241486068111455,0.221276595744681
"Acinetobacter Sp.","FQL_class",2020,0.235915492957746,0.213036565977742
"Acinetobacter Sp.","FQL_class",2021,0.267796610169492,0.238670694864048
"Acinetobacter Sp.","FQL_class",2022,0.282828282828283,0.241379310344828
"Enterobacter cloacae","FQL_class",2007,0.141987057480015,0.130785413744741
"Enterobacter cloacae","FQL_class",2008,0.135145060594932,0.125255275697754
"Enterobacter cloacae","FQL_class",2009,0.131879914224446,0.123041013671224
"Enterobacter cloacae","FQL_class",2010,0.125779625779626,0.118241042345277
"Enterobacter cloacae","FQL_class",2011,0.11860718171926,0.111300204220558
"Enterobacter cloacae","FQL_class",2012,0.10832137733142,0.101444407121263
"Enterobacter cloacae","FQL_class",2013,0.103474903474903,0.097881665449233
"Enterobacter cloacae","FQL_class",2014,0.104522995058913,0.0984251968503937
"Enterobacter cloacae","FQL_class",2015,0.0910530482977039,0.0883595850941222
"Enterobacter cloacae","FQL_class",2016,0.0705346985210466,0.0665474060822898
"Enterobacter cloacae","FQL_class",2017,0.0744760479041916,0.0702187720536344
"Enterobacter cloacae","FQL_class",2018,0.0571870170015456,0.0537595350526698
"Enterobacter cloacae","FQL_class",2019,0.0663716814159292,0.0616649537512847
"Enterobacter cloacae","FQL_class",2020,0.0615711252653928,0.056420233463035
"Enterobacter cloacae","FQL_class",2021,0.0695915279878971,0.0638667129468934
"Enterobacter cloacae","FQL_class",2022,0.0833333333333333,0.0754039497307002
"Enterococcus faecalis","FQL_class",2007,0.515662078785002,0.281440227949747
"Enterococcus faecalis","FQL_class",2008,0.504606365159129,0.275051358137412
"Enterococcus faecalis","FQL_class",2009,0.474860335195531,0.257659413229404
"Enterococcus faecalis","FQL_class",2010,0.4426,0.233858184508084
"Enterococcus faecalis","FQL_class",2011,0.43502024291498,0.234632601812425
"Enterococcus faecalis","FQL_class",2012,0.428345834978287,0.230752871118673
"Enterococcus faecalis","FQL_class",2013,0.412698412698413,0.218264322178106
"Enterococcus faecalis","FQL_class",2014,0.401201602136182,0.201340033500838
"Enterococcus faecalis","FQL_class",2015,0.377904427882508,0.19624359704041
"Enterococcus faecalis","FQL_class",2016,0.368689105403012,0.191997232472325
"Enterococcus faecalis","FQL_class",2017,0.337562896521549,0.182000471809389
