"organismofinterest","variable","date_year","prop_noNA","prop_wNA"
"Escherichia coli","CPM_class",2007,0.00455109640049648,0.00313345677253952
"Escherichia coli","CPM_class",2008,0.00421901368835552,0.0029972026108965
"Escherichia coli","CPM_class",2009,0.00588865096359743,0.0042132141717204
"Escherichia coli","CPM_class",2010,0.00436901361115779,0.00332480818414322
"Escherichia coli","CPM_class",2011,0.00465900875572335,0.00366995697291825
"Escherichia coli","CPM_class",2012,0.00268401789345262,0.0021200051394064
"Escherichia coli","CPM_class",2013,0.00317778892791437,0.00250808527489935
"Escherichia coli","CPM_class",2014,0.00413507925568573,0.00322342354442281
"Escherichia coli","CPM_class",2015,0.0040164149131232,0.00319067767219255
"Escherichia coli","CPM_class",2016,0.00386384544618215,0.00292662532227719
"Escherichia coli","CPM_class",2017,0.00451113975326827,0.0034177303480505
"Escherichia coli","CPM_class",2018,0.00331644403500691,0.00253699788583509
"Escherichia coli","CPM_class",2019,0.00291627469426152,0.00220593467586992
"Escherichia coli","CPM_class",2020,0.0032088993475238,0.00236294896030246
"Escherichia coli","CPM_class",2021,0.00330339630432538,0.00240258277648472
"Escherichia coli","CPM_class",2022,0.00378967314069162,0.00270087778528022
"Klebsiella pneumoniae","CPM_class",2007,0.0360916924077386,0.0259436718476101
"Klebsiella pneumoniae","CPM_class",2008,0.0557680988816951,0.0415615747340717
"Klebsiella pneumoniae","CPM_class",2009,0.048350718917395,0.035927516497329
"Klebsiella pneumoniae","CPM_class",2010,0.0383468834688347,0.0300392739624244
"Klebsiella pneumoniae","CPM_class",2011,0.0380199030364889,0.030925695309257
"Klebsiella pneumoniae","CPM_class",2012,0.0423465423465423,0.0349657827202737
"Klebsiella pneumoniae","CPM_class",2013,0.0409427609427609,0.0332603938730853
"Klebsiella pneumoniae","CPM_class",2014,0.0364051585169264,0.0292783059636992
"Klebsiella pneumoniae","CPM_class",2015,0.038265306122449,0.0308008213552361
"Klebsiella pneumoniae","CPM_class",2016,0.0364360945061201,0.0278806360270094
"Klebsiella pneumoniae","CPM_class",2017,0.0299823633156966,0.0228136882129278
"Klebsiella pneumoniae","CPM_class",2018,0.0275637225844695,0.021191751167825
"Klebsiella pneumoniae","CPM_class",2019,0.0240377525438726,0.0180769657313963
"Klebsiella pneumoniae","CPM_class",2020,0.0234604105571848,0.0171653355584694
